<x>,<y>,<z>,<t>
-0.036301,0.034033,0.295949,17.000000
-0.036370,0.033947,0.295760,48.000000
-0.036437,0.033954,0.295581,80.000000
-0.036581,0.034250,0.295414,114.000000
-0.036841,0.034815,0.295260,144.000000
-0.037083,0.034764,0.295105,192.000000
-0.037559,0.034867,0.294955,225.000000
-0.038030,0.034892,0.294803,257.000000
-0.038426,0.035147,0.294653,289.000000
-0.038583,0.035156,0.294517,320.000000
-0.038414,0.035791,0.294389,352.000000
-0.037510,0.036406,0.294280,386.000000
-0.035696,0.037766,0.294192,416.000000
-0.032865,0.039907,0.294121,448.000000
-0.028902,0.042407,0.294064,480.000000
-0.024435,0.045325,0.294017,514.000000
-0.019410,0.046525,0.293978,544.000000
-0.014507,0.048436,0.293945,592.000000
-0.009305,0.051115,0.293918,624.000000
-0.004713,0.052273,0.293898,656.000000
0.000047,0.053342,0.293888,689.000000
0.004231,0.053983,0.293886,721.000000
0.007701,0.054985,0.293887,752.000000
0.011004,0.054990,0.293896,785.000000
0.013626,0.054761,0.293917,820.000000
0.015914,0.054641,0.293961,852.000000
0.017999,0.053109,0.294011,884.000000
0.019797,0.051561,0.294066,916.000000
0.021254,0.049576,0.294123,949.000000
0.022742,0.048432,0.294176,997.000000
0.024548,0.045777,0.294222,1031.000000
0.025985,0.042799,0.294260,1062.000000
0.027422,0.040826,0.294293,1090.000000
0.028663,0.037162,0.294319,1124.000000
0.029943,0.035098,0.294337,1157.000000
0.030981,0.032078,0.294341,1189.000000
0.031900,0.027411,0.294331,1221.000000
0.032679,0.024805,0.294270,1255.000000
0.033054,0.022146,0.294135,1285.000000
0.033229,0.020679,0.293932,1317.000000
0.033360,0.015455,0.293593,1352.000000
0.033265,0.010548,0.293189,1397.000000
0.032531,0.006456,0.292709,1429.000000
0.031276,0.003574,0.292188,1461.000000
0.029077,-0.001027,0.291571,1490.000000
0.026457,-0.003756,0.290821,1525.000000
0.023622,-0.008202,0.289921,1553.000000
0.020493,-0.013114,0.288909,1587.000000
0.016711,-0.016112,0.287559,1616.000000
0.012702,-0.019510,0.285861,1652.000000
0.008678,-0.022914,0.283967,1680.000000
0.004870,-0.026311,0.281959,1713.000000
0.001186,-0.030471,0.280076,1746.000000
-0.001915,-0.033235,0.278419,1793.000000
-0.005421,-0.035287,0.276798,1824.000000
-0.009043,-0.038086,0.275238,1857.000000
-0.011859,-0.042441,0.273685,1889.000000
-0.015249,-0.044363,0.272009,1922.000000
-0.017857,-0.046872,0.270321,1952.000000
-0.020661,-0.048342,0.268740,1985.000000
-0.023454,-0.049310,0.267230,2016.000000
-0.025448,-0.051249,0.265856,2048.000000
-0.027370,-0.051879,0.264564,2080.000000
-0.028623,-0.052777,0.263342,2114.000000
-0.029833,-0.053645,0.262207,2162.000000
-0.030466,-0.054146,0.261070,2194.000000
-0.030908,-0.054586,0.259979,2227.000000
-0.030939,-0.055273,0.258986,2258.000000
-0.030632,-0.055481,0.258035,2290.000000
-0.029365,-0.055758,0.257159,2323.000000
-0.027331,-0.055567,0.256354,2356.000000
-0.024118,-0.055575,0.255739,2388.000000
-0.020655,-0.055405,0.255227,2418.000000
-0.016578,-0.055575,0.254833,2451.000000
-0.012636,-0.055270,0.254530,2484.000000
-0.008470,-0.054922,0.254279,2516.000000
-0.004566,-0.053599,0.254051,2562.000000
0.000113,-0.053962,0.253881,2595.000000
0.004005,-0.053823,0.253748,2625.000000
0.007834,-0.053590,0.253645,2658.000000
0.012273,-0.053963,0.253565,2690.000000
0.016270,-0.054110,0.253502,2726.000000
0.020001,-0.054214,0.253457,2757.000000
0.023360,-0.054566,0.253440,2791.000000
0.026617,-0.054352,0.253441,2821.000000
0.029586,-0.054117,0.253467,2855.000000
0.032533,-0.053954,0.253571,2884.000000
0.034990,-0.053933,0.253780,2919.000000
0.037468,-0.054487,0.254101,2965.000000
0.040143,-0.054400,0.254444,2999.000000
0.042603,-0.054510,0.254810,3028.000000
0.045189,-0.054336,0.255204,3063.000000
0.047433,-0.054746,0.255638,3093.000000
0.049826,-0.054925,0.256106,3127.000000
0.052251,-0.055272,0.256593,3155.000000
0.054527,-0.055408,0.257056,3188.000000
0.056606,-0.055459,0.257479,3216.000000
0.058875,-0.054908,0.257885,3251.000000
0.060256,-0.054940,0.258279,3280.000000
0.061481,-0.054589,0.258650,3314.000000
0.062230,-0.054773,0.259027,3361.000000
0.062686,-0.054793,0.259372,3399.000000
0.062897,-0.054822,0.259685,3428.000000
0.062967,-0.054648,0.259961,3462.000000
0.062909,-0.055732,0.260232,3494.000000
0.062744,-0.056070,0.260500,3528.000000
0.062729,-0.055153,0.260712,3557.000000
0.062572,-0.055134,0.260888,3591.000000
0.062431,-0.055129,0.261050,3621.000000
0.062184,-0.055847,0.261209,3656.000000
0.061959,-0.056185,0.261369,3685.000000
0.061770,-0.056416,0.261507,3720.000000
0.061752,-0.055217,0.261619,3764.000000
