<x>,<y>,<z>,<t>
0.069704,0.037984,0.318824,28.000000
0.069012,0.037933,0.318049,59.000000
0.068334,0.037891,0.317437,90.000000
0.066900,0.038121,0.316900,139.000000
0.064178,0.038611,0.316471,171.000000
0.060954,0.039487,0.316144,202.000000
0.058075,0.038966,0.315923,234.000000
0.052706,0.038969,0.315764,266.000000
0.048078,0.038520,0.315677,298.000000
0.043925,0.037316,0.315633,331.000000
0.040487,0.034999,0.315633,362.000000
0.035217,0.032441,0.315754,395.000000
0.031902,0.029544,0.316052,425.000000
0.028740,0.025680,0.316436,457.000000
0.024845,0.023765,0.316871,490.000000
0.022347,0.021141,0.317328,539.000000
0.020150,0.017070,0.317703,571.000000
0.018904,0.014012,0.318018,602.000000
0.018025,0.011136,0.318268,633.000000
0.016658,0.009211,0.318452,665.000000
0.016142,0.005601,0.318590,697.000000
0.016173,0.001766,0.318696,730.000000
0.016298,-0.001207,0.318775,763.000000
0.017216,-0.003324,0.318810,795.000000
0.018686,-0.007083,0.318816,826.000000
0.020902,-0.009709,0.318789,859.000000
0.023156,-0.012746,0.318632,891.000000
0.026716,-0.016709,0.318263,939.000000
0.030055,-0.020442,0.317626,971.000000
0.032827,-0.023283,0.316761,1002.000000
0.036432,-0.025850,0.315599,1035.000000
0.040246,-0.027291,0.314194,1066.000000
0.044966,-0.028840,0.312810,1097.000000
0.048585,-0.030533,0.311407,1130.000000
0.053260,-0.031821,0.310032,1162.000000
0.057742,-0.032453,0.308647,1197.000000
0.060455,-0.032282,0.307324,1226.000000
0.065218,-0.032349,0.306128,1259.000000
0.070911,-0.033239,0.305119,1291.000000
0.075279,-0.033325,0.304152,1338.000000
0.080039,-0.033207,0.303180,1372.000000
0.084651,-0.033064,0.302453,1402.000000
0.090186,-0.032579,0.301882,1435.000000
0.095850,-0.030968,0.301331,1467.000000
0.099699,-0.028152,0.300813,1498.000000
0.104166,-0.025685,0.300353,1530.000000
0.107253,-0.021355,0.300016,1563.000000
0.111161,-0.016196,0.299767,1594.000000
0.113945,-0.011003,0.299589,1627.000000
0.116398,-0.005842,0.299466,1659.000000
0.117921,-0.000531,0.299404,1691.000000
0.119123,0.007671,0.299402,1739.000000
0.119849,0.013996,0.299659,1771.000000
0.119982,0.020302,0.300285,1803.000000
0.120003,0.027079,0.301685,1834.000000
0.119507,0.033665,0.303924,1866.000000
0.118327,0.040024,0.306485,1898.000000
0.116405,0.045879,0.309378,1930.000000
0.113661,0.049178,0.313651,1961.000000
0.110524,0.054014,0.318299,1994.000000
0.106295,0.057640,0.322404,2026.000000
0.101844,0.059127,0.326021,2058.000000
0.096477,0.062581,0.331254,2090.000000
0.093290,0.062561,0.334772,2137.000000
0.088753,0.062698,0.336913,2171.000000
0.084421,0.062827,0.338749,2202.000000
0.080423,0.061934,0.340325,2234.000000
0.076414,0.061150,0.341540,2266.000000
0.074216,0.058387,0.342553,2298.000000
0.071124,0.056681,0.343398,2329.000000
0.068749,0.055578,0.344159,2361.000000
0.066449,0.053882,0.344791,2394.000000
0.064977,0.051467,0.345296,2426.000000
0.064115,0.048698,0.345663,2458.000000
0.062258,0.045993,0.345942,2506.000000
0.061048,0.043411,0.346172,2538.000000
0.060052,0.040609,0.346391,2570.000000
0.058584,0.037965,0.346569,2602.000000
0.057728,0.035495,0.346743,2634.000000
0.056641,0.033946,0.346876,2666.000000
0.055981,0.032306,0.346988,2697.000000
0.055692,0.030536,0.347075,2730.000000
0.056027,0.029135,0.347144,2762.000000
0.056890,0.028628,0.347199,2794.000000
0.057310,0.028994,0.347247,2826.000000
0.058417,0.029208,0.347347,2857.000000
0.059946,0.028941,0.347772,2906.000000
0.061110,0.028911,0.349921,2938.000000
0.062121,0.028581,0.355069,2970.000000
0.063139,0.027266,0.363131,3000.000000
0.063794,0.026015,0.372806,3032.000000
0.064203,0.026569,0.383069,3064.000000
0.066037,0.026058,0.393579,3097.000000
0.068178,0.021896,0.401820,3129.000000
0.069738,0.019274,0.412237,3161.000000
0.071339,0.015412,0.421234,3193.000000
0.072359,0.014254,0.431617,3225.000000
0.073525,0.010823,0.439344,3257.000000
0.075103,0.010240,0.447083,3304.000000
0.075471,0.010190,0.454971,3336.000000
0.076948,0.005841,0.460314,3368.000000
0.077651,0.003311,0.465657,3399.000000
0.079309,0.000576,0.469730,3431.000000
0.079874,-0.000132,0.475032,3465.000000
0.080351,-0.001544,0.479296,3496.000000
0.080387,-0.001839,0.482722,3529.000000
0.080794,-0.001502,0.485478,3560.000000
0.081122,-0.002258,0.487401,3592.000000
0.081126,-0.001750,0.489270,3623.000000
0.081132,-0.000375,0.490956,3655.000000
0.081157,-0.000773,0.492177,3703.000000
0.081485,-0.000765,0.493057,3737.000000
0.081408,-0.000788,0.493800,3768.000000
