<x>,<y>,<z>,<t>
0.052169,0.049856,0.321278,14.000000
0.052721,0.049604,0.321040,45.000000
0.052973,0.049321,0.320830,77.000000
0.053487,0.049073,0.320645,109.000000
0.054241,0.048958,0.320476,141.000000
0.054962,0.049546,0.320336,172.000000
0.056084,0.050196,0.320217,205.000000
0.057321,0.058944,0.320126,236.000000
0.060189,0.054812,0.320050,269.000000
0.062250,0.059371,0.319993,300.000000
0.065699,0.054727,0.319947,348.000000
0.069414,0.050616,0.319908,380.000000
0.072751,0.049528,0.319876,413.000000
0.076370,0.046837,0.319859,445.000000
0.079851,0.044091,0.319857,476.000000
0.083230,0.040890,0.319866,509.000000
0.086492,0.037858,0.319917,541.000000
0.089099,0.032957,0.320080,573.000000
0.091710,0.025438,0.320334,605.000000
0.093545,0.018564,0.320623,637.000000
0.095751,0.012828,0.320944,669.000000
0.097719,0.007103,0.321268,700.000000
0.099200,0.000616,0.321564,748.000000
0.100561,-0.005076,0.321816,781.000000
0.101460,-0.010807,0.322047,812.000000
0.101802,-0.015986,0.322232,844.000000
0.101866,-0.022486,0.322382,877.000000
0.101591,-0.027629,0.322497,909.000000
0.100836,-0.032420,0.322586,940.000000
0.098948,-0.037926,0.322656,972.000000
0.096470,-0.041094,0.322712,1004.000000
0.093505,-0.045248,0.322753,1036.000000
0.090900,-0.047913,0.322773,1068.000000
0.087185,-0.052653,0.322775,1101.000000
0.083213,-0.054903,0.322726,1149.000000
0.078564,-0.056637,0.322536,1181.000000
0.073855,-0.058106,0.322205,1212.000000
0.068617,-0.059851,0.321640,1244.000000
0.063154,-0.059775,0.320927,1277.000000
0.057858,-0.060172,0.320102,1308.000000
0.053169,-0.060166,0.319211,1341.000000
0.047923,-0.058440,0.318358,1373.000000
0.043548,-0.057166,0.317597,1405.000000
0.040177,-0.055108,0.316891,1438.000000
0.036612,-0.051397,0.316252,1470.000000
0.033360,-0.048189,0.315682,1518.000000
0.030422,-0.041470,0.315244,1550.000000
0.028418,-0.037313,0.314912,1582.000000
0.026728,-0.029163,0.314676,1614.000000
0.025581,-0.022901,0.314506,1646.000000
0.024503,-0.009538,0.314392,1678.000000
0.024108,-0.005026,0.314322,1710.000000
0.024109,-0.000348,0.314317,1742.000000
0.024145,0.008348,0.314445,1774.000000
0.024498,0.013420,0.314887,1805.000000
0.025075,0.020846,0.316121,1837.000000
0.025853,0.025582,0.317868,1871.000000
0.026210,0.045614,0.321257,1917.000000
0.029261,0.035883,0.323113,1951.000000
0.032039,0.035860,0.324844,1982.000000
0.034750,0.036453,0.326706,2014.000000
0.036919,0.044220,0.329799,2046.000000
0.040437,0.044369,0.332367,2078.000000
0.043350,0.045222,0.335081,2109.000000
0.045983,0.047168,0.337494,2142.000000
0.048921,0.047830,0.339532,2173.000000
0.051459,0.048563,0.341465,2204.000000
0.053465,0.050613,0.343395,2236.000000
0.054334,0.062036,0.346364,2268.000000
0.057098,0.054532,0.347799,2318.000000
0.058975,0.052966,0.348780,2349.000000
0.060381,0.051872,0.349514,2381.000000
0.061399,0.051520,0.350109,2413.000000
0.062056,0.052738,0.350761,2445.000000
0.062122,0.060660,0.351873,2476.000000
0.062343,0.056129,0.352572,2509.000000
0.062528,0.056227,0.353145,2541.000000
0.062469,0.056914,0.353744,2573.000000
0.062339,0.056640,0.354336,2605.000000
0.062411,0.050828,0.354823,2637.000000
0.061644,0.053587,0.356211,2668.000000
0.061367,0.054014,0.358560,2716.000000
0.061247,0.049543,0.361013,2749.000000
0.060743,0.049547,0.366377,2780.000000
0.059651,0.050928,0.375248,2812.000000
0.058999,0.045782,0.380592,2845.000000
0.058437,0.042206,0.387093,2877.000000
0.057510,0.041066,0.394969,2908.000000
0.056725,0.039155,0.401354,2940.000000
0.056510,0.036756,0.407809,2972.000000
0.056310,0.031122,0.412111,3004.000000
0.056139,0.029229,0.417541,3036.000000
0.056091,0.028113,0.423272,3069.000000
0.056004,0.026884,0.428929,3116.000000
0.056000,0.026047,0.434129,3148.000000
0.055811,0.028207,0.441325,3179.000000
0.055808,0.027947,0.445716,3211.000000
0.055798,0.027821,0.449844,3243.000000
0.055635,0.027288,0.453562,3276.000000
0.055483,0.026546,0.456908,3308.000000
0.055079,0.025863,0.460258,3340.000000
0.054509,0.025633,0.462977,3371.000000
0.053844,0.025868,0.465658,3404.000000
0.053542,0.025527,0.467599,3435.000000
0.053495,0.025321,0.469061,3483.000000
0.053579,0.024988,0.470248,3516.000000
0.053923,0.024820,0.471196,3548.000000
0.055022,0.028151,0.472589,3580.000000
0.057788,0.028673,0.474056,3612.000000
0.061425,0.029454,0.475367,3643.000000
0.065202,0.029386,0.476419,3675.000000
0.068393,0.027854,0.477135,3707.000000
0.071054,0.024194,0.477610,3739.000000
0.074062,0.020403,0.477937,3771.000000
0.076526,0.015351,0.478165,3804.000000
0.079552,0.009895,0.478329,3835.000000
0.082148,0.004025,0.478447,3883.000000
0.084456,-0.002093,0.478526,3915.000000
