<x>,<y>,<z>,<t>
0.039165,0.033327,0.285362,21.000000
0.039302,0.032307,0.283757,53.000000
0.039419,0.031107,0.282405,102.000000
0.039728,0.030520,0.281175,133.000000
0.040332,0.029707,0.280227,166.000000
0.041616,0.028986,0.279490,197.000000
0.043655,0.028531,0.278940,229.000000
0.046840,0.027814,0.278565,261.000000
0.050916,0.027146,0.278311,293.000000
0.055481,0.026374,0.278133,326.000000
0.060340,0.025774,0.278028,358.000000
0.065053,0.025488,0.278050,390.000000
0.069677,0.024879,0.278274,422.000000
0.073723,0.021913,0.278823,469.000000
0.078391,0.022505,0.279773,501.000000
0.082502,0.022997,0.280890,533.000000
0.085113,0.021906,0.282626,565.000000
0.088294,0.024382,0.283984,598.000000
0.090827,0.025556,0.285192,630.000000
0.092893,0.027627,0.286182,661.000000
0.094466,0.028703,0.287061,693.000000
0.094927,0.026556,0.288639,725.000000
0.095202,0.025830,0.290074,757.000000
0.096232,0.030931,0.291098,789.000000
0.096387,0.028726,0.291907,821.000000
0.096455,0.054689,0.292444,869.000000
0.097522,0.056659,0.292808,901.000000
0.098177,0.056210,0.293083,932.000000
0.098473,0.054829,0.293319,965.000000
0.098679,0.050740,0.293490,997.000000
0.098757,0.044163,0.293619,1028.000000
0.098758,0.036843,0.293713,1061.000000
0.098827,0.031744,0.293742,1093.000000
0.098696,0.026262,0.293741,1124.000000
0.098676,0.020492,0.293671,1157.000000
0.098673,0.016184,0.293516,1188.000000
0.098725,0.011121,0.293177,1220.000000
0.098726,0.007004,0.292780,1268.000000
0.098728,0.002866,0.292194,1301.000000
0.098722,-0.000825,0.291599,1333.000000
0.098966,-0.003386,0.290902,1365.000000
0.099030,-0.006853,0.290164,1397.000000
0.099062,-0.010479,0.289512,1429.000000
0.099062,-0.013835,0.288806,1460.000000
0.099065,-0.017055,0.288105,1494.000000
0.099041,-0.019031,0.287480,1526.000000
0.099029,-0.019852,0.286600,1557.000000
0.098982,-0.022465,0.285813,1589.000000
0.098981,-0.023771,0.285094,1622.000000
0.098984,-0.026360,0.284406,1669.000000
0.099140,-0.028376,0.283630,1702.000000
0.099348,-0.029621,0.282609,1733.000000
0.099517,-0.031333,0.281688,1765.000000
0.099757,-0.032854,0.280741,1798.000000
0.100213,-0.033555,0.279784,1829.000000
0.100361,-0.034335,0.278887,1861.000000
0.100196,-0.035255,0.278193,1893.000000
0.099317,-0.035753,0.277673,1925.000000
0.097227,-0.036134,0.277232,1957.000000
0.094516,-0.035870,0.276855,1988.000000
0.089838,-0.035876,0.276551,2021.000000
0.084957,-0.035709,0.276319,2069.000000
0.079174,-0.035717,0.276140,2101.000000
0.073512,-0.035717,0.275978,2133.000000
0.067962,-0.035633,0.275833,2165.000000
0.063187,-0.035584,0.275658,2197.000000
0.058893,-0.035721,0.275487,2229.000000
0.055654,-0.035679,0.275295,2261.000000
0.052766,-0.035688,0.275075,2294.000000
0.050631,-0.035688,0.274802,2325.000000
0.048928,-0.035858,0.274413,2358.000000
0.047889,-0.035965,0.273935,2389.000000
0.047099,-0.035773,0.273365,2438.000000
0.046355,-0.035543,0.272752,2470.000000
0.045982,-0.035272,0.272119,2502.000000
0.045707,-0.034525,0.271510,2534.000000
0.045572,-0.034004,0.270941,2566.000000
0.045395,-0.032818,0.270515,2597.000000
0.045177,-0.029944,0.270182,2629.000000
0.044717,-0.025871,0.269945,2662.000000
0.044363,-0.016321,0.269774,2693.000000
0.044150,-0.013310,0.269653,2726.000000
0.043831,-0.006768,0.269600,2758.000000
0.043465,-0.001858,0.269621,2789.000000
0.043216,0.004715,0.269820,2838.000000
0.043137,0.011378,0.270214,2869.000000
0.042981,0.012507,0.271045,2901.000000
0.042850,0.018383,0.272027,2933.000000
0.042545,0.022176,0.273427,2965.000000
0.042116,0.025718,0.274918,2997.000000
0.041671,0.028605,0.276803,3029.000000
0.041278,0.029516,0.278948,3062.000000
0.040578,0.033298,0.281106,3093.000000
0.040204,0.042176,0.282779,3125.000000
0.040216,0.040607,0.284546,3156.000000
0.040334,0.039372,0.286220,3188.000000
0.040797,0.039013,0.287642,3236.000000
0.041388,0.038275,0.288903,3269.000000
0.041829,0.038453,0.289977,3300.000000
0.042582,0.038502,0.290865,3332.000000
0.043124,0.038253,0.291692,3364.000000
