<x>,<y>,<z>,<t>
0.059156,-0.027033,0.309334,22.000000
0.058695,-0.027282,0.309334,54.000000
0.058340,-0.027409,0.309327,85.000000
0.058159,-0.027527,0.309303,118.000000
0.058154,-0.027574,0.309255,150.000000
0.058159,-0.027605,0.309173,182.000000
0.058505,-0.027657,0.309020,214.000000
0.059048,-0.026328,0.308844,246.000000
0.059839,-0.025579,0.308616,278.000000
0.060949,-0.024527,0.308360,309.000000
0.062357,-0.020109,0.308114,357.000000
0.064269,-0.018651,0.307871,390.000000
0.065544,-0.015540,0.307659,422.000000
0.067287,-0.012919,0.307469,454.000000
0.068703,-0.009920,0.307304,485.000000
0.070718,-0.007502,0.307168,517.000000
0.072306,-0.004793,0.307061,549.000000
0.073954,-0.001273,0.306978,581.000000
0.075851,-0.000397,0.306912,613.000000
0.077046,0.007082,0.306881,646.000000
0.078769,0.007663,0.306871,677.000000
0.080329,0.009393,0.306881,710.000000
0.081803,0.011265,0.306946,757.000000
0.083288,0.013181,0.307196,789.000000
0.084056,0.022551,0.308026,821.000000
0.085416,0.022150,0.308750,854.000000
0.086394,0.022631,0.309563,885.000000
0.087328,0.023174,0.310625,917.000000
0.087911,0.025672,0.311657,949.000000
0.088814,0.025703,0.312603,981.000000
0.089340,0.027337,0.313588,1012.000000
0.089919,0.029209,0.314600,1044.000000
0.090584,0.029368,0.315514,1076.000000
0.091054,0.029831,0.316404,1109.000000
0.091703,0.029751,0.317201,1157.000000
0.092452,0.029694,0.317850,1190.000000
0.092858,0.028929,0.318459,1221.000000
0.093503,0.028294,0.318931,1253.000000
0.094413,0.026195,0.319311,1286.000000
0.095155,0.025269,0.319669,1317.000000
0.096124,0.023667,0.319996,1349.000000
0.097482,0.021497,0.320259,1382.000000
0.098883,0.019519,0.320482,1412.000000
0.101258,0.015952,0.320649,1445.000000
0.103293,0.012637,0.320778,1476.000000
0.106045,0.007724,0.320874,1525.000000
0.108851,0.003388,0.320943,1556.000000
0.111996,-0.000323,0.320990,1588.000000
0.115379,-0.004675,0.321004,1621.000000
0.118614,-0.009094,0.321004,1653.000000
0.121382,-0.014842,0.320988,1685.000000
0.123597,-0.018712,0.320890,1717.000000
0.126023,-0.020517,0.320720,1750.000000
0.127674,-0.022731,0.320495,1781.000000
0.129003,-0.025920,0.320274,1813.000000
0.129709,-0.027614,0.320011,1846.000000
0.130419,-0.029890,0.319706,1876.000000
0.130750,-0.031485,0.319335,1925.000000
0.130836,-0.032739,0.318972,1957.000000
0.130846,-0.033664,0.318620,1989.000000
0.130486,-0.034086,0.318187,2021.000000
0.128397,-0.034077,0.317695,2053.000000
0.125343,-0.034139,0.317335,2085.000000
0.121102,-0.034117,0.316935,2117.000000
0.116333,-0.033803,0.316464,2149.000000
0.110967,-0.033365,0.315811,2182.000000
0.105625,-0.033392,0.315090,2213.000000
0.099532,-0.033316,0.314152,2245.000000
0.093623,-0.033319,0.313119,2277.000000
0.087940,-0.033133,0.311879,2326.000000
0.081514,-0.033276,0.310327,2359.000000
0.075582,-0.033275,0.308712,2390.000000
0.069588,-0.033575,0.307182,2422.000000
0.065165,-0.033806,0.305623,2454.000000
0.060445,-0.033806,0.304109,2486.000000
0.057319,-0.033986,0.302602,2517.000000
0.054203,-0.033458,0.301286,2550.000000
0.052237,-0.033348,0.300122,2582.000000
0.051326,-0.033128,0.299096,2614.000000
0.050530,-0.032935,0.298140,2646.000000
0.050319,-0.032892,0.297252,2677.000000
0.050287,-0.032264,0.296483,2726.000000
0.050487,-0.032222,0.295830,2757.000000
0.050500,-0.031342,0.295330,2789.000000
0.051114,-0.031524,0.294950,2821.000000
0.051475,-0.032023,0.294683,2853.000000
0.052211,-0.032139,0.294495,2886.000000
0.053300,-0.032718,0.294399,2918.000000
0.054205,-0.033213,0.294440,2949.000000
0.055030,-0.034014,0.295253,2982.000000
0.055562,-0.034085,0.298083,3013.000000
0.056478,-0.036148,0.302639,3045.000000
0.057141,-0.037995,0.308795,3077.000000
0.057469,-0.038652,0.315579,3125.000000
0.058106,-0.041016,0.322443,3157.000000
0.059021,-0.044038,0.329167,3189.000000
0.060186,-0.046218,0.336147,3220.000000
0.061350,-0.046753,0.343994,3252.000000
0.063343,-0.047831,0.351807,3284.000000
0.065510,-0.049348,0.359523,3316.000000
0.067565,-0.050964,0.367287,3349.000000
0.069904,-0.051670,0.374476,3380.000000
0.072746,-0.052668,0.382049,3412.000000
0.075281,-0.053591,0.388495,3443.000000
0.078280,-0.054006,0.394612,3492.000000
0.081332,-0.054440,0.400296,3525.000000
0.084591,-0.054441,0.406860,3556.000000
0.087768,-0.054919,0.411502,3587.000000
0.090769,-0.054925,0.415887,3620.000000
0.093381,-0.054516,0.419704,3652.000000
0.095676,-0.054126,0.422610,3683.000000
0.097790,-0.054129,0.424883,3716.000000
0.099199,-0.054115,0.426525,3749.000000
0.100528,-0.054040,0.427732,3780.000000
0.101449,-0.054953,0.428527,3812.000000
0.101965,-0.055055,0.429107,3843.000000
0.102173,-0.055084,0.429539,3892.000000
0.102287,-0.054964,0.429850,3924.000000
0.102287,-0.054781,0.430078,3956.000000
0.102291,-0.054252,0.430243,3987.000000
0.102216,-0.053069,0.430366,4019.000000
0.102115,-0.050500,0.430434,4051.000000
0.102096,-0.049446,0.430348,4083.000000
0.102026,-0.046141,0.429511,4116.000000
0.101941,-0.041783,0.425478,4149.000000
0.101977,-0.039125,0.417628,4180.000000
0.102192,-0.036795,0.407637,4213.000000
0.102429,-0.032250,0.398402,4244.000000
0.102901,-0.030537,0.388576,4293.000000
0.103628,-0.025451,0.379573,4326.000000
0.103999,-0.024055,0.372005,4357.000000
0.104103,-0.022152,0.363528,4389.000000
0.104168,-0.018983,0.357144,4421.000000
0.104136,-0.017024,0.350438,4453.000000
0.104134,-0.017012,0.343683,4485.000000
0.104136,-0.016855,0.337157,4517.000000
0.104156,-0.016987,0.331756,4550.000000
0.104220,-0.017093,0.327457,4581.000000
0.104253,-0.017734,0.323601,4613.000000
0.104280,-0.017951,0.320474,4646.000000
0.104305,-0.018437,0.317987,4693.000000
0.104255,-0.019037,0.316058,4725.000000
0.104250,-0.019874,0.314499,4758.000000
0.104260,-0.020293,0.313226,4790.000000
0.104359,-0.020857,0.312137,4822.000000
0.104491,-0.021491,0.311324,4853.000000
