<x>,<y>,<z>,<t>
0.025083,-0.002127,0.370773,30.000000
0.025373,-0.002626,0.370799,62.000000
0.025802,-0.002730,0.370821,94.000000
0.026242,-0.002761,0.370841,127.000000
0.026657,-0.002821,0.370858,158.000000
0.027053,-0.003375,0.370871,191.000000
0.027507,-0.003699,0.370878,222.000000
0.027605,-0.003814,0.370883,254.000000
0.027626,-0.003904,0.370886,302.000000
0.027543,-0.003900,0.370886,335.000000
0.027379,-0.003866,0.370885,367.000000
0.027158,-0.003500,0.370879,400.000000
0.026753,-0.003463,0.370867,430.000000
0.026154,-0.003467,0.370852,461.000000
0.025410,-0.003429,0.370839,494.000000
0.024367,-0.001700,0.370827,526.000000
0.023022,-0.001530,0.370816,558.000000
0.021797,-0.001526,0.370808,590.000000
0.020327,-0.000116,0.370804,622.000000
0.018680,0.000760,0.370804,653.000000
0.017139,0.001370,0.370811,702.000000
0.015722,0.001460,0.370835,735.000000
0.014175,0.001452,0.370888,766.000000
0.012477,0.001337,0.370961,799.000000
0.010644,0.000602,0.371048,830.000000
0.009062,0.000349,0.371147,863.000000
0.006887,-0.000238,0.371271,894.000000
0.005261,-0.000818,0.371409,926.000000
0.003371,-0.002304,0.371553,958.000000
0.001974,-0.005017,0.371711,990.000000
-0.000140,-0.006929,0.371897,1022.000000
-0.001723,-0.009460,0.372072,1055.000000
-0.003292,-0.011748,0.372237,1102.000000
-0.005195,-0.013604,0.372399,1134.000000
-0.007194,-0.015610,0.372562,1166.000000
-0.008449,-0.018712,0.372722,1199.000000
-0.009440,-0.020185,0.372863,1229.000000
-0.010542,-0.021365,0.372978,1261.000000
-0.011062,-0.023598,0.373074,1292.000000
-0.011060,-0.026673,0.373150,1326.000000
-0.010680,-0.029563,0.373209,1359.000000
-0.010079,-0.031795,0.373251,1391.000000
-0.008805,-0.032488,0.373271,1423.000000
-0.007205,-0.033722,0.373273,1471.000000
-0.004822,-0.034668,0.373215,1503.000000
-0.002598,-0.035394,0.373031,1535.000000
0.000066,-0.036466,0.372655,1565.000000
0.003027,-0.037278,0.372134,1598.000000
0.005763,-0.037922,0.371525,1630.000000
0.008935,-0.038945,0.370828,1660.000000
0.012157,-0.039125,0.370037,1695.000000
0.015376,-0.039663,0.369297,1727.000000
0.018424,-0.039677,0.368570,1758.000000
0.021764,-0.040124,0.367834,1790.000000
0.024702,-0.041292,0.367133,1822.000000
0.027368,-0.041472,0.366521,1869.000000
0.030009,-0.041440,0.365996,1903.000000
0.031963,-0.040597,0.365547,1934.000000
0.033642,-0.038612,0.365209,1964.000000
0.034923,-0.037152,0.364961,1997.000000
0.035979,-0.036149,0.364773,2028.000000
0.036898,-0.035376,0.364631,2062.000000
0.037848,-0.034482,0.364523,2092.000000
0.038384,-0.031597,0.364441,2127.000000
0.038765,-0.028793,0.364382,2156.000000
0.038901,-0.025612,0.364349,2190.000000
0.039046,-0.024574,0.364343,2219.000000
0.039099,-0.022940,0.364353,2270.000000
0.039157,-0.022654,0.364395,2301.000000
0.039178,-0.021280,0.364495,2333.000000
0.039159,-0.019390,0.364714,2364.000000
0.039174,-0.017231,0.365114,2399.000000
0.039090,-0.015037,0.365692,2428.000000
0.039085,-0.014847,0.366294,2462.000000
0.038963,-0.014338,0.366996,2492.000000
0.038665,-0.013203,0.367815,2526.000000
0.038254,-0.012960,0.368578,2556.000000
0.037999,-0.012724,0.369368,2590.000000
0.037611,-0.012720,0.370208,2619.000000
0.037343,-0.012564,0.371026,2671.000000
0.037089,-0.012464,0.371839,2700.000000
0.036980,-0.012191,0.372616,2734.000000
0.036908,-0.011811,0.373341,2764.000000
0.036889,-0.011381,0.374019,2799.000000
0.036904,-0.011368,0.374637,2828.000000
0.036959,-0.011484,0.375214,2863.000000
0.037082,-0.011474,0.375731,2892.000000
0.037084,-0.011690,0.376176,2925.000000
0.037148,-0.011846,0.376574,2959.000000
0.037265,-0.012047,0.376921,2988.000000
0.037427,-0.012745,0.377215,3022.000000
0.037630,-0.012835,0.377561,3069.000000
0.037784,-0.013150,0.378055,3100.000000
0.038111,-0.014323,0.378970,3135.000000
0.038610,-0.015503,0.380709,3164.000000
0.039289,-0.016534,0.383542,3199.000000
0.040538,-0.019045,0.388089,3228.000000
0.042217,-0.020082,0.394519,3261.000000
0.044633,-0.022033,0.403002,3293.000000
0.047032,-0.022413,0.411963,3326.000000
0.049728,-0.022943,0.422896,3357.000000
0.053204,-0.025975,0.431906,3390.000000
0.056148,-0.026169,0.443906,3437.000000
0.060137,-0.027127,0.455933,3469.000000
0.064360,-0.029343,0.462817,3501.000000
0.068679,-0.028168,0.479071,3534.000000
0.072851,-0.028157,0.485157,3565.000000
0.076779,-0.027632,0.496517,3597.000000
0.082094,-0.027906,0.502698,3629.000000
0.086042,-0.026679,0.509229,3661.000000
0.091144,-0.025456,0.516490,3693.000000
0.096860,-0.024444,0.521311,3725.000000
0.103176,-0.024245,0.524754,3757.000000
0.109605,-0.020769,0.527610,3789.000000
0.116046,-0.020482,0.529272,3837.000000
0.121802,-0.018060,0.530320,3869.000000
0.127989,-0.017758,0.530923,3902.000000
0.132591,-0.017526,0.531298,3934.000000
0.136685,-0.017173,0.531426,3964.000000
0.140284,-0.015557,0.531426,3997.000000
0.142263,-0.015388,0.530307,4029.000000
0.144604,-0.013931,0.526441,4061.000000
0.145209,-0.013728,0.519489,4093.000000
0.145803,-0.009229,0.510243,4125.000000
0.145800,-0.009207,0.499942,4156.000000
0.145202,-0.008465,0.491617,4190.000000
0.143261,-0.005875,0.481104,4238.000000
0.140242,-0.002302,0.472128,4270.000000
0.136375,0.001422,0.464533,4302.000000
0.131835,0.005233,0.455983,4334.000000
0.127803,0.006506,0.442544,4365.000000
0.123505,0.011436,0.435068,4398.000000
0.119231,0.013151,0.424777,4430.000000
0.115273,0.014319,0.414538,4462.000000
0.110761,0.017017,0.406245,4494.000000
0.106371,0.017228,0.397965,4527.000000
0.101381,0.017748,0.389486,4559.000000
0.095950,0.017822,0.381464,4591.000000
0.089863,0.017592,0.375220,4639.000000
0.084562,0.017034,0.370242,4671.000000
0.078100,0.016569,0.365974,4703.000000
0.072609,0.015217,0.362689,4735.000000
0.066991,0.014153,0.360105,4764.000000
0.061217,0.012546,0.357907,4799.000000
0.055942,0.010843,0.356086,4829.000000
0.050882,0.010152,0.354845,4863.000000
0.047222,0.007710,0.353903,4893.000000
0.043646,0.006385,0.353202,4926.000000
0.040784,0.004459,0.352659,4957.000000
0.038115,0.003227,0.352266,4991.000000
0.036051,0.000116,0.351973,5039.000000
0.034361,-0.001597,0.351763,5070.000000
0.033051,-0.002193,0.351611,5103.000000
0.031732,-0.002900,0.351512,5133.000000
0.030810,-0.003221,0.351470,5166.000000
0.029920,-0.004115,0.351468,5196.000000
0.029239,-0.004823,0.351496,5230.000000
0.028900,-0.005298,0.351581,5262.000000
0.028381,-0.006001,0.351762,5295.000000
0.028022,-0.006200,0.352051,5326.000000
