<x>,<y>,<z>,<t>
-0.034419,0.087097,0.363056,6.000000
-0.034420,0.086368,0.363109,38.000000
-0.034444,0.086320,0.363144,70.000000
-0.034468,0.086063,0.363166,102.000000
-0.034439,0.085967,0.363172,134.000000
-0.034437,0.086034,0.363170,166.000000
-0.034376,0.086492,0.363157,198.000000
-0.034207,0.086970,0.363132,246.000000
-0.033484,0.086642,0.363100,279.000000
-0.032502,0.086238,0.363070,310.000000
-0.030347,0.086053,0.363044,341.000000
-0.027068,0.086062,0.363022,375.000000
-0.021262,0.085688,0.363010,406.000000
-0.014447,0.085998,0.363001,437.000000
-0.005856,0.087030,0.362994,470.000000
0.003416,0.087165,0.362990,501.000000
0.013207,0.088299,0.362994,534.000000
0.022807,0.088358,0.363104,566.000000
0.031793,0.088410,0.363532,599.000000
0.039759,0.088409,0.364233,646.000000
0.046252,0.088199,0.366079,678.000000
0.050321,0.088193,0.367746,710.000000
0.052569,0.087718,0.368875,742.000000
0.053670,0.087799,0.369660,776.000000
0.054291,0.087330,0.370207,806.000000
0.054324,0.086656,0.370612,839.000000
0.053782,0.082509,0.370945,872.000000
0.052478,0.079063,0.371175,903.000000
0.051194,0.071802,0.371329,935.000000
0.049724,0.062575,0.371322,966.000000
0.048433,0.051432,0.370754,999.000000
0.047971,0.038476,0.369154,1048.000000
0.047578,0.021940,0.367170,1080.000000
0.047006,0.008744,0.363734,1112.000000
0.046852,-0.002516,0.360469,1144.000000
0.046866,-0.009507,0.357338,1175.000000
0.046667,-0.016541,0.354308,1207.000000
0.046177,-0.019438,0.351610,1240.000000
0.044895,-0.021865,0.349345,1270.000000
0.042674,-0.021779,0.347252,1303.000000
0.038550,-0.021750,0.345760,1336.000000
0.032230,-0.021580,0.344646,1367.000000
0.023869,-0.021292,0.343749,1399.000000
0.014038,-0.021264,0.343221,1447.000000
0.002831,-0.020359,0.342767,1479.000000
-0.008111,-0.020686,0.342378,1511.000000
-0.017687,-0.022104,0.342105,1542.000000
-0.025644,-0.021801,0.341826,1574.000000
-0.030548,-0.021470,0.341595,1606.000000
-0.032638,-0.020340,0.341263,1641.000000
-0.033458,-0.020100,0.340867,1670.000000
-0.033666,-0.018803,0.340305,1702.000000
-0.033411,-0.015546,0.339862,1734.000000
-0.032807,-0.010000,0.339525,1766.000000
-0.031554,-0.003382,0.339296,1814.000000
-0.031094,0.003245,0.339161,1847.000000
-0.031100,0.015280,0.339125,1880.000000
-0.031199,0.025289,0.339124,1910.000000
-0.032147,0.035134,0.340259,1942.000000
-0.032817,0.047389,0.342486,1974.000000
-0.033325,0.053991,0.344812,2009.000000
-0.033634,0.064302,0.347892,2041.000000
-0.034279,0.073685,0.351402,2070.000000
-0.034780,0.079416,0.354565,2102.000000
-0.035266,0.082848,0.357555,2134.000000
-0.035566,0.083789,0.359964,2166.000000
-0.035645,0.083872,0.362081,2214.000000
-0.035717,0.084304,0.363745,2246.000000
-0.035403,0.082790,0.365824,2278.000000
-0.034335,0.081589,0.368628,2309.000000
-0.032799,0.081175,0.374777,2342.000000
-0.030507,0.074345,0.385200,2373.000000
-0.028359,0.072618,0.404367,2405.000000
-0.025431,0.067427,0.413193,2437.000000
-0.022808,0.062408,0.428350,2469.000000
-0.021172,0.060993,0.438993,2502.000000
-0.019269,0.060976,0.449405,2534.000000
-0.017411,0.060517,0.457446,2565.000000
-0.016850,0.059301,0.463447,2613.000000
-0.015755,0.058987,0.468806,2645.000000
-0.015034,0.058918,0.472825,2677.000000
-0.014565,0.058983,0.476063,2709.000000
-0.014454,0.059194,0.478972,2743.000000
-0.014328,0.060070,0.480806,2773.000000
-0.014315,0.060040,0.482042,2805.000000
-0.014254,0.060035,0.482867,2837.000000
-0.014284,0.060243,0.483487,2869.000000
-0.014432,0.060433,0.483939,2901.000000
-0.014493,0.060433,0.484272,2933.000000
