<x>,<y>,<z>,<t>
-0.001563,-0.001306,0.265994,17.000000
-0.001634,-0.000949,0.265851,48.000000
-0.001542,-0.001016,0.265720,81.000000
-0.001905,-0.000613,0.265590,112.000000
-0.002083,-0.000611,0.265474,145.000000
-0.002288,0.001522,0.265358,177.000000
-0.003352,0.004265,0.265237,208.000000
-0.003555,0.004523,0.265138,257.000000
-0.003868,0.007239,0.265057,289.000000
-0.004349,0.012535,0.264988,322.000000
-0.004660,0.017357,0.264926,353.000000
-0.004822,0.028220,0.264855,385.000000
-0.004686,0.032729,0.264788,417.000000
-0.004158,0.037034,0.264725,451.000000
-0.002047,0.039915,0.264665,481.000000
0.000450,0.047636,0.264603,511.000000
0.003784,0.052610,0.264549,544.000000
0.007972,0.056472,0.264503,575.000000
0.012639,0.061415,0.264463,607.000000
0.018009,0.065703,0.264430,655.000000
0.024474,0.067981,0.264405,688.000000
0.030435,0.071179,0.264385,722.000000
0.037790,0.072252,0.264374,754.000000
0.044707,0.073687,0.264375,783.000000
0.051554,0.075381,0.264398,816.000000
0.058939,0.075580,0.264526,847.000000
0.065709,0.075583,0.264761,880.000000
0.071787,0.075167,0.265198,911.000000
0.077952,0.073686,0.265829,943.000000
0.083485,0.071891,0.266829,975.000000
0.088663,0.069254,0.268020,1009.000000
0.093268,0.066125,0.269214,1055.000000
0.097450,0.064214,0.270242,1087.000000
0.101406,0.058963,0.271350,1119.000000
0.104023,0.055383,0.272427,1151.000000
0.106651,0.047367,0.273703,1183.000000
0.109349,0.037556,0.275541,1216.000000
0.111251,0.034865,0.277054,1248.000000
0.112509,0.031497,0.278048,1279.000000
0.113629,0.022915,0.279142,1312.000000
0.113963,0.018996,0.279995,1344.000000
0.114339,0.015155,0.280650,1375.000000
0.114467,0.008076,0.281218,1407.000000
0.114427,0.004375,0.281678,1455.000000
0.113769,-0.002653,0.282040,1488.000000
0.112547,-0.007874,0.282317,1519.000000
0.110751,-0.014775,0.282556,1552.000000
0.108311,-0.020305,0.282750,1583.000000
0.105699,-0.024749,0.282894,1615.000000
0.102579,-0.029090,0.283003,1647.000000
0.097740,-0.039635,0.283092,1679.000000
0.095091,-0.041723,0.283160,1712.000000
0.090911,-0.043793,0.283194,1743.000000
0.085510,-0.055275,0.283217,1778.000000
0.081905,-0.056334,0.283215,1807.000000
0.077253,-0.057658,0.283110,1857.000000
0.073034,-0.061044,0.282858,1888.000000
0.064918,-0.065519,0.282487,1922.000000
0.058645,-0.067648,0.281896,1952.000000
0.052725,-0.067651,0.280788,1985.000000
0.045045,-0.070006,0.279752,2018.000000
0.038089,-0.070091,0.278688,2051.000000
0.030999,-0.069805,0.277568,2079.000000
0.025275,-0.069652,0.276609,2113.000000
0.018530,-0.069011,0.275749,2147.000000
0.013275,-0.067203,0.274606,2179.000000
0.009332,-0.065712,0.273538,2226.000000
0.004312,-0.061599,0.272615,2256.000000
0.001835,-0.055738,0.271748,2291.000000
0.000204,-0.052910,0.271083,2321.000000
-0.002647,-0.046706,0.270429,2352.000000
-0.004213,-0.040165,0.269725,2385.000000
-0.006895,-0.031008,0.268887,2416.000000
-0.007982,-0.025825,0.268085,2448.000000
-0.008439,-0.020658,0.267312,2480.000000
-0.008879,-0.015379,0.266482,2512.000000
-0.009169,-0.007681,0.265502,2544.000000
-0.009315,-0.003580,0.264521,2576.000000
-0.009301,0.000204,0.263639,2624.000000
-0.008936,0.002533,0.262890,2656.000000
-0.008202,0.005243,0.262231,2689.000000
-0.007360,0.006723,0.261629,2720.000000
-0.006818,0.007752,0.261118,2753.000000
-0.006412,0.010734,0.260642,2784.000000
-0.005827,0.010721,0.260267,2816.000000
-0.005446,0.011591,0.259925,2848.000000
-0.005098,0.011414,0.259639,2880.000000
-0.004968,0.011078,0.259390,2912.000000
-0.004888,0.010491,0.259181,2944.000000
-0.004867,0.010432,0.258998,2976.000000
-0.004851,0.008764,0.258854,3024.000000
-0.005018,0.008556,0.258733,3056.000000
-0.005208,0.007996,0.258631,3088.000000
-0.005636,0.008521,0.258527,3120.000000
-0.005646,0.007187,0.258442,3152.000000
-0.005917,0.007960,0.258356,3184.000000
-0.006090,0.007727,0.258277,3216.000000
-0.006207,0.007669,0.258198,3249.000000
-0.006877,0.007670,0.258090,3280.000000
-0.006755,0.007643,0.257926,3312.000000
-0.006244,0.008579,0.257579,3344.000000
-0.005290,0.008978,0.256839,3375.000000
-0.003100,0.009276,0.255530,3426.000000
-0.000033,0.009602,0.252859,3459.000000
0.004337,0.011319,0.249545,3488.000000
0.008442,0.011462,0.246475,3522.000000
0.013305,0.012855,0.243477,3553.000000
0.018267,0.015231,0.240689,3587.000000
0.023311,0.015878,0.238356,3617.000000
0.029771,0.017841,0.236437,3651.000000
0.035029,0.018764,0.234797,3680.000000
0.040484,0.019485,0.233465,3712.000000
0.046830,0.019896,0.232451,3744.000000
0.052268,0.019923,0.231763,3776.000000
0.058372,0.019925,0.231291,3824.000000
0.063380,0.020233,0.230966,3856.000000
0.069176,0.020377,0.230739,3888.000000
0.075795,0.020406,0.230579,3921.000000
0.081187,0.018641,0.230508,3952.000000
0.085765,0.016886,0.230518,3984.000000
0.091702,0.015471,0.230702,4016.000000
0.095368,0.012161,0.231345,4048.000000
0.098975,0.007539,0.232689,4079.000000
0.103189,0.006377,0.234426,4112.000000
0.106853,0.005669,0.236145,4143.000000
0.110113,0.005186,0.237673,4192.000000
0.112674,0.003520,0.239253,4224.000000
0.114914,-0.000035,0.241152,4255.000000
0.116725,-0.003342,0.243158,4287.000000
0.117482,-0.006049,0.245354,4319.000000
0.117678,-0.008976,0.247353,4352.000000
0.116998,-0.011770,0.249345,4383.000000
0.114986,-0.015031,0.251381,4416.000000
0.111374,-0.016947,0.253357,4447.000000
0.105678,-0.016717,0.254650,4480.000000
0.099587,-0.019039,0.255997,4511.000000
0.092410,-0.019781,0.257325,4543.000000
0.083366,-0.021203,0.258687,4591.000000
0.075505,-0.021813,0.259931,4624.000000
0.065385,-0.022321,0.261166,4656.000000
0.056718,-0.023754,0.262677,4687.000000
0.045775,-0.023748,0.264453,4720.000000
0.037833,-0.021093,0.265959,4752.000000
0.029164,-0.020682,0.267342,4786.000000
0.020487,-0.020570,0.268934,4816.000000
0.013223,-0.019289,0.270462,4850.000000
0.002460,-0.015878,0.271586,4880.000000
-0.001605,-0.015932,0.272744,4911.000000
-0.008337,-0.013828,0.273607,4944.000000
-0.014034,-0.011808,0.274315,4991.000000
-0.019805,-0.009039,0.274829,5024.000000
-0.023106,-0.006201,0.275210,5056.000000
-0.026188,-0.003335,0.275478,5088.000000
-0.028055,-0.000690,0.275668,5119.000000
-0.029150,0.004462,0.275804,5153.000000
-0.029594,0.006472,0.275903,5184.000000
-0.029587,0.008589,0.275965,5216.000000
-0.029015,0.010878,0.275979,5248.000000
-0.028226,0.012603,0.275965,5280.000000
-0.027197,0.013779,0.275892,5312.000000
-0.026227,0.014899,0.275751,5343.000000
-0.024839,0.015154,0.275566,5392.000000
-0.023391,0.015158,0.275364,5424.000000
-0.021951,0.015264,0.275153,5456.000000
-0.020154,0.014380,0.274961,5487.000000
-0.019690,0.014611,0.274763,5520.000000
-0.018272,0.015180,0.274562,5552.000000
-0.016473,0.013256,0.274404,5584.000000
-0.015660,0.013226,0.274259,5616.000000
-0.014688,0.012897,0.274130,5648.000000
-0.013305,0.011979,0.274021,5679.000000
-0.012559,0.011667,0.273923,5711.000000
