<x>,<y>,<z>,<t>
-0.063951,-0.004084,0.310634,11.000000
-0.064278,-0.004221,0.310817,41.000000
-0.064806,-0.002797,0.310926,72.000000
-0.065092,-0.002728,0.310985,120.000000
-0.065497,-0.001735,0.311004,153.000000
-0.065720,0.000529,0.311003,185.000000
-0.065932,0.002117,0.310978,216.000000
-0.066081,0.004834,0.310891,248.000000
-0.066101,0.007671,0.310741,280.000000
-0.066231,0.009582,0.310558,312.000000
-0.066477,0.013680,0.310298,344.000000
-0.066472,0.016449,0.309981,377.000000
-0.066364,0.019028,0.309673,408.000000
-0.066362,0.023331,0.309375,441.000000
-0.066190,0.027342,0.309127,472.000000
-0.065085,0.031567,0.308914,520.000000
-0.063329,0.035631,0.308753,552.000000
-0.061547,0.040542,0.308635,584.000000
-0.059021,0.044589,0.308561,616.000000
-0.056739,0.050025,0.308531,647.000000
-0.053856,0.052281,0.308575,680.000000
-0.050777,0.058267,0.308804,712.000000
-0.047459,0.061779,0.309303,744.000000
-0.044326,0.064747,0.310601,779.000000
-0.040487,0.066228,0.312177,811.000000
-0.038211,0.073331,0.313805,840.000000
-0.033344,0.073810,0.315786,874.000000
-0.029038,0.074829,0.317282,920.000000
-0.026438,0.078807,0.318743,952.000000
-0.020210,0.078924,0.320452,985.000000
-0.015935,0.079705,0.322320,1015.000000
-0.010722,0.081220,0.323897,1047.000000
-0.004758,0.081185,0.325730,1081.000000
0.000462,0.081597,0.327588,1112.000000
0.006001,0.081651,0.329129,1143.000000
0.012081,0.080013,0.330172,1178.000000
0.017016,0.078284,0.331023,1208.000000
0.022482,0.075457,0.331842,1240.000000
0.027381,0.071459,0.332501,1290.000000
0.032019,0.068331,0.333068,1320.000000
0.036537,0.063603,0.333562,1352.000000
0.041323,0.058830,0.334043,1386.000000
0.045192,0.052422,0.334554,1416.000000
0.048642,0.047412,0.334966,1449.000000
0.051545,0.042040,0.335257,1482.000000
0.054045,0.036054,0.335510,1512.000000
0.055901,0.029147,0.335731,1544.000000
0.057424,0.022763,0.335903,1579.000000
0.058264,0.014454,0.336032,1608.000000
0.058480,0.008275,0.336126,1641.000000
0.058568,0.001142,0.336196,1691.000000
0.058371,-0.005721,0.336236,1720.000000
0.057472,-0.012215,0.336198,1752.000000
0.056109,-0.019946,0.335922,1786.000000
0.054407,-0.026492,0.335008,1816.000000
0.051742,-0.034885,0.333293,1848.000000
0.049622,-0.040770,0.331450,1883.000000
0.046971,-0.047345,0.328622,1913.000000
0.044096,-0.053377,0.325686,1945.000000
0.040414,-0.058531,0.323187,1979.000000
0.036852,-0.065578,0.319654,2009.000000
0.032623,-0.069954,0.316195,2041.000000
0.028684,-0.073227,0.312464,2091.000000
0.024518,-0.076540,0.309298,2121.000000
0.020959,-0.078821,0.306855,2154.000000
0.016052,-0.080099,0.304526,2186.000000
0.011261,-0.080747,0.302755,2217.000000
0.007759,-0.080777,0.301183,2249.000000
0.003390,-0.080401,0.300083,2284.000000
-0.002289,-0.079786,0.299230,2312.000000
-0.005178,-0.077800,0.298378,2345.000000
-0.009740,-0.076198,0.297625,2378.000000
-0.013461,-0.072908,0.296983,2412.000000
-0.017671,-0.071002,0.296510,2441.000000
-0.021593,-0.068568,0.296110,2493.000000
-0.025157,-0.064330,0.295714,2521.000000
-0.028337,-0.062149,0.295375,2555.000000
-0.031249,-0.059363,0.295105,2584.000000
-0.034134,-0.056477,0.294886,2617.000000
-0.036325,-0.051894,0.294706,2648.000000
-0.038525,-0.049612,0.294562,2681.000000
-0.040680,-0.046722,0.294438,2712.000000
-0.042575,-0.043238,0.294343,2745.000000
-0.044026,-0.038595,0.294268,2776.000000
-0.046076,-0.036141,0.294210,2809.000000
-0.047925,-0.031421,0.294169,2841.000000
-0.049404,-0.028240,0.294156,2889.000000
-0.050774,-0.024685,0.294155,2920.000000
-0.052658,-0.021791,0.294171,2951.000000
-0.053634,-0.018224,0.294420,2984.000000
-0.054949,-0.015547,0.294661,3016.000000
-0.056340,-0.012080,0.294936,3048.000000
-0.056873,-0.009567,0.295209,3080.000000
-0.057266,-0.008241,0.295511,3112.000000
-0.058102,-0.006405,0.295843,3145.000000
-0.058643,-0.004926,0.296196,3175.000000
-0.059652,-0.002201,0.296899,3208.000000
-0.060285,-0.000043,0.297467,3258.000000
-0.060848,0.000492,0.297933,3289.000000
-0.061035,0.000906,0.298308,3322.000000
-0.061329,0.001684,0.298611,3353.000000
-0.061664,0.002734,0.298859,3385.000000
-0.061825,0.002696,0.299075,3416.000000
-0.061981,0.002902,0.299263,3448.000000
-0.061977,0.002664,0.299451,3480.000000
-0.061949,0.002797,0.299655,3513.000000
-0.061332,0.002063,0.299970,3545.000000
-0.060034,0.001922,0.301636,3576.000000
-0.059028,0.001999,0.303122,3609.000000
-0.056693,0.001956,0.305020,3657.000000
-0.053836,0.001629,0.307837,3689.000000
-0.050324,0.001595,0.312411,3719.000000
-0.046633,0.001028,0.318663,3755.000000
-0.043431,0.000505,0.323444,3785.000000
-0.039052,-0.000094,0.328798,3816.000000
-0.035587,-0.001163,0.333266,3848.000000
-0.030790,-0.002253,0.338347,3879.000000
-0.026613,-0.002816,0.342738,3912.000000
-0.022438,-0.003757,0.347633,3945.000000
-0.018280,-0.005147,0.352159,3976.000000
-0.015209,-0.006187,0.356488,4007.000000
-0.010834,-0.007310,0.360775,4056.000000
-0.007998,-0.009234,0.364821,4088.000000
-0.005402,-0.010714,0.368303,4119.000000
-0.002771,-0.013119,0.371212,4151.000000
0.000228,-0.016094,0.374087,4183.000000
0.002769,-0.017669,0.376801,4215.000000
0.005211,-0.018290,0.379433,4247.000000
0.007651,-0.019505,0.382003,4279.000000
0.009894,-0.021461,0.384115,4312.000000
0.011767,-0.021545,0.386093,4344.000000
0.013834,-0.022112,0.387928,4375.000000
0.015301,-0.022329,0.389044,4408.000000
0.016403,-0.023025,0.390234,4455.000000
0.017271,-0.023105,0.391203,4487.000000
0.017630,-0.023915,0.391844,4519.000000
0.017759,-0.024108,0.392324,4552.000000
0.018117,-0.024495,0.392650,4583.000000
0.018430,-0.023818,0.392891,4616.000000
0.018843,-0.023209,0.393075,4647.000000
