<x>,<y>,<z>,<t>
-0.000685,0.058903,0.217554,8.000000
-0.000861,0.059073,0.217509,41.000000
-0.000981,0.059079,0.217466,73.000000
-0.001192,0.059229,0.217407,104.000000
-0.001312,0.059318,0.217357,137.000000
-0.001451,0.059421,0.217313,168.000000
-0.001551,0.059452,0.217267,200.000000
-0.001753,0.059618,0.217226,232.000000
-0.002223,0.059832,0.217190,266.000000
-0.002965,0.060122,0.217153,296.000000
-0.004627,0.060346,0.217123,328.000000
-0.006530,0.060680,0.217100,361.000000
-0.009714,0.061016,0.217106,409.000000
-0.013915,0.061558,0.217157,441.000000
-0.018662,0.061995,0.217336,472.000000
-0.025060,0.062320,0.217750,504.000000
-0.031079,0.062317,0.218934,536.000000
-0.037534,0.061298,0.221206,568.000000
-0.044732,0.059395,0.224474,601.000000
-0.051605,0.056073,0.228231,631.000000
-0.057489,0.050510,0.232522,664.000000
-0.062409,0.044957,0.237039,696.000000
-0.067496,0.039704,0.240764,729.000000
-0.071832,0.033939,0.244104,760.000000
-0.075307,0.026054,0.247629,809.000000
-0.077393,0.020822,0.250380,842.000000
-0.078892,0.013605,0.252540,874.000000
-0.079880,0.006844,0.254431,905.000000
-0.080087,0.000290,0.256298,936.000000
-0.079855,-0.007104,0.258085,968.000000
-0.078536,-0.012044,0.259650,1000.000000
-0.075203,-0.018684,0.261070,1032.000000
-0.071047,-0.023938,0.262381,1065.000000
-0.065362,-0.029847,0.263563,1096.000000
-0.058003,-0.034162,0.264554,1128.000000
-0.051136,-0.037838,0.265447,1177.000000
-0.041836,-0.040596,0.266370,1209.000000
-0.033354,-0.041559,0.267140,1240.000000
-0.024678,-0.041549,0.267659,1273.000000
-0.017022,-0.041465,0.267984,1304.000000
-0.010699,-0.040100,0.268202,1336.000000
-0.004343,-0.038167,0.268296,1369.000000
0.001778,-0.035688,0.268360,1400.000000
0.006148,-0.032328,0.268394,1432.000000
0.009991,-0.029715,0.268421,1464.000000
0.013346,-0.027927,0.268446,1500.000000
0.016110,-0.026023,0.268469,1530.000000
0.017568,-0.024234,0.268500,1578.000000
0.019037,-0.023477,0.268532,1609.000000
0.019587,-0.021572,0.268563,1641.000000
0.020339,-0.021340,0.268593,1673.000000
0.020556,-0.021145,0.268620,1704.000000
0.020542,-0.021130,0.268650,1737.000000
0.020526,-0.020913,0.268677,1769.000000
0.020447,-0.020955,0.268699,1801.000000
0.020229,-0.020944,0.268719,1832.000000
0.019841,-0.020883,0.268734,1865.000000
0.019601,-0.020760,0.268750,1896.000000
0.019008,-0.019948,0.268764,1928.000000
0.018682,-0.020138,0.268778,1977.000000
0.018295,-0.020358,0.268797,2009.000000
0.018103,-0.020543,0.268857,2042.000000
0.017886,-0.021293,0.269066,2072.000000
0.017606,-0.021996,0.269981,2104.000000
0.017210,-0.022619,0.272835,2136.000000
0.017189,-0.023599,0.279668,2169.000000
0.017202,-0.023820,0.287044,2201.000000
0.017130,-0.023700,0.299571,2233.000000
0.017084,-0.021816,0.307099,2264.000000
0.016906,-0.019924,0.319433,2296.000000
0.016325,-0.015872,0.327812,2327.000000
0.015703,-0.011325,0.339272,2376.000000
0.015433,-0.006245,0.348837,2408.000000
0.014784,-0.000150,0.360953,2440.000000
0.014203,0.005076,0.367455,2472.000000
0.013228,0.011566,0.375547,2502.000000
0.012189,0.019637,0.381962,2535.000000
0.011238,0.027157,0.389942,2567.000000
0.010216,0.035309,0.394324,2598.000000
0.009492,0.044440,0.399112,2630.000000
0.009203,0.052183,0.402448,2663.000000
0.008537,0.059715,0.404384,2695.000000
0.008006,0.067567,0.405830,2727.000000
0.007308,0.076016,0.406676,2775.000000
0.006470,0.083031,0.407167,2807.000000
0.005703,0.089293,0.407481,2839.000000
0.005164,0.092891,0.407523,2874.000000
0.004517,0.095733,0.407258,2903.000000
0.003423,0.099254,0.405032,2935.000000
0.002400,0.101126,0.399984,2967.000000
0.001675,0.102163,0.391985,2998.000000
0.001257,0.102232,0.381994,3031.000000
0.000951,0.102383,0.371757,3062.000000
0.000947,0.101758,0.358348,3094.000000
0.001142,0.100562,0.345992,3143.000000
0.001667,0.098613,0.331798,3177.000000
0.002266,0.096320,0.319340,3207.000000
0.002934,0.091720,0.309333,3241.000000
0.003749,0.087765,0.299545,3272.000000
0.004339,0.083182,0.290306,3303.000000
0.004882,0.078507,0.282326,3336.000000
0.005624,0.074898,0.276132,3368.000000
0.006409,0.071318,0.270276,3400.000000
0.006875,0.068606,0.264744,3433.000000
0.007301,0.066680,0.261011,3465.000000
0.007463,0.065346,0.258195,3496.000000
