<x>,<y>,<z>,<t>
-0.143761,-0.007066,0.299344,23.000000
-0.143860,-0.007051,0.299551,54.000000
-0.143710,-0.007016,0.299717,87.000000
-0.143452,-0.006841,0.299852,121.000000
-0.142688,-0.006630,0.299958,151.000000
-0.141560,-0.006532,0.300052,182.000000
-0.140888,-0.005579,0.300135,214.000000
-0.139979,-0.004865,0.300218,263.000000
-0.139358,-0.003670,0.300302,294.000000
-0.137576,-0.001150,0.300379,326.000000
-0.136325,0.001275,0.300441,360.000000
-0.134825,0.005357,0.300488,391.000000
-0.132263,0.007687,0.300521,423.000000
-0.128600,0.012176,0.300521,455.000000
-0.125731,0.015329,0.300486,487.000000
-0.122138,0.020247,0.300304,519.000000
-0.117906,0.022513,0.299937,550.000000
-0.113240,0.026621,0.299378,585.000000
-0.109467,0.029538,0.298630,615.000000
-0.103791,0.033649,0.297814,663.000000
-0.099314,0.038862,0.296854,695.000000
-0.095547,0.042684,0.295977,726.000000
-0.091170,0.048142,0.295190,759.000000
-0.086766,0.050884,0.294507,791.000000
-0.083314,0.054775,0.293842,822.000000
-0.079214,0.058359,0.293286,855.000000
-0.076651,0.061966,0.292795,885.000000
-0.073968,0.065233,0.292399,919.000000
-0.071731,0.068038,0.292105,949.000000
-0.069877,0.070434,0.291836,982.000000
-0.068486,0.071631,0.291612,1014.000000
-0.067492,0.073571,0.291436,1062.000000
-0.067040,0.074194,0.291281,1095.000000
-0.066568,0.074184,0.291155,1127.000000
-0.066310,0.074275,0.291047,1159.000000
-0.066203,0.074241,0.290952,1190.000000
-0.065980,0.073065,0.290875,1223.000000
-0.065715,0.072064,0.290810,1255.000000
-0.065225,0.069464,0.290755,1287.000000
-0.064678,0.067022,0.290710,1319.000000
-0.063817,0.063873,0.290672,1350.000000
-0.062626,0.061046,0.290640,1384.000000
-0.061396,0.058700,0.290612,1415.000000
-0.058937,0.054770,0.290587,1462.000000
-0.056671,0.052182,0.290564,1495.000000
-0.053783,0.048942,0.290541,1526.000000
-0.051421,0.046032,0.290513,1559.000000
-0.047944,0.043114,0.290476,1592.000000
-0.044583,0.039888,0.290434,1626.000000
-0.041574,0.036747,0.290384,1657.000000
-0.038347,0.034203,0.290326,1688.000000
-0.035394,0.032097,0.290265,1720.000000
-0.032672,0.028416,0.290184,1753.000000
-0.029928,0.025651,0.290061,1783.000000
-0.027109,0.023871,0.289912,1816.000000
-0.024603,0.021196,0.289729,1867.000000
-0.022397,0.019351,0.289494,1896.000000
-0.020088,0.016285,0.289261,1930.000000
-0.018461,0.014372,0.289022,1959.000000
-0.016994,0.012463,0.288730,1995.000000
-0.015139,0.010908,0.288185,2024.000000
-0.013762,0.008479,0.287680,2057.000000
-0.012331,0.006867,0.287159,2089.000000
-0.011210,0.004900,0.286583,2122.000000
-0.010466,0.002435,0.285977,2150.000000
-0.009129,0.000425,0.285388,2186.000000
-0.008104,-0.001877,0.284796,2230.000000
-0.007081,-0.003425,0.284329,2266.000000
-0.006447,-0.004938,0.283903,2295.000000
-0.005976,-0.006056,0.283467,2329.000000
-0.005582,-0.006946,0.283069,2359.000000
-0.005496,-0.007772,0.282637,2395.000000
-0.005350,-0.008150,0.282261,2426.000000
-0.005390,-0.008292,0.281933,2456.000000
-0.005646,-0.008570,0.281630,2490.000000
-0.006083,-0.008598,0.281356,2519.000000
-0.007000,-0.008688,0.281146,2555.000000
-0.008641,-0.008689,0.280986,2583.000000
-0.010752,-0.008899,0.280872,2633.000000
-0.013034,-0.008837,0.280804,2663.000000
-0.015735,-0.008783,0.280777,2696.000000
-0.018659,-0.008623,0.280779,2727.000000
-0.021857,-0.008368,0.280917,2759.000000
-0.024974,-0.007884,0.281191,2791.000000
-0.028948,-0.007712,0.281919,2823.000000
